MARCA,REFERENCIA,PROCESADOR,RAM,PANTALLA,DISCODURO,DISCOSSOLIDOS,PRECIOS
HP,Portátil Hp 245 G8 Amd Ryzen 3 8gb 256gb Ssd Linux,AMD RYZEN R3,8GB,14 pulgadas,No aplica,256GB,$  1.639.900 
HP,Portatil Hp 245 G8 Amd Ryzen3 8gb 256gb Ssd 14pulg,AMD RYZEN R3,8GB,14 pulgadas,No aplica,256GB,$  1.620.600 
HP,Portatil hp 255 g7,AMD,4GB,15.6 pulgadas,500GB,No aplica,$  1.394.400 
Asus,"Portatil asus x415ja core i3 14"" 1tb 4gb endless",Intel Core i3,4GB,14 pulgadas,1TB,No aplica,$  1.542.900 
Toshiba,Portátil dynabook celeron 4gb 128gb w10 fhd 13.3'',Intel Celeron,4GB,13.3 pulgadas,No aplica,128GB,$  1.079.900 
MSI,"Portátil msi 15 a10ras, intel ci7, 8gb, 512 ssd",Intel Core i7,8GB,15.6 pulgadas,No aplica,512GB,$  5.228.000 
Apple,MacBook Pro Chip M1 Pro 512GB SSD Plata MK1E3E/A 16.2 Pulgadas,Chip M1 Pro,16GB,16.2 pulgadas,No aplica,512GB,$  13.528.900
HP,Portátil hp 14 pulgadas intel celeron 4gb 1tb,Intel Celeron,4GB,14 pulgadas,1TB,No aplica,$  1.069.900 
Dell,"Portátil Dell Inspiron 3501 Core I3 4gb 1tb 15.6""",Intel Core i3,4GB,15.6 pulgadas,1TB,No aplica,$  1.530.000 
HP,"Portatil hp 245 g7 ryzen3 4gb  dd1tb 14"" freedos",AMD RYZEN R3,4GB,14 pulgadas,1TB,No aplica,$  1.431.900 
Asus,"Portátil Asus expertbook intel ci3-10110u, 8gb ram",Intel Core i3,4GB,14 pulgadas,1TB,No aplica,$  2.199.000 
Lenovo,Portátil lenovo  intel core i3 4gb 1tb  + mouse,Intel Core i3,4GB,14 pulgadas,1TB,No aplica,$  1.619.900 
Dell,Portátil dell gaming g5 15 5505 ryzen 5.,AMD RYZEN R5,8GB,15.6 pulgadas,No tiene dato.,No tiene dato.,$  4.999.900 
HP,Portatil hp 14-ck2101la,Intel Celeron,4GB,14 pulgadas,1TB,No aplica,$  1.286.000 
HP,Portátil HP 15-gw0017la amd ryzen 3 4gb 256gb ssd,AMD RYZEN R3,4GB,15.6 pulgadas,No aplica,256GB,$  1.639.900 
HP,Portatil hp  240 g7 celeron n4020 4gb 1tb linux,Intel Celeron,4GB,14 pulgadas,1TB,No aplica,$  1.132.200 
Lenovo,Portátil Lenovo 82gks00f00 14 Pulgadas Intel Core,Intel Core i5,8GB,14 pulgadas,No aplica,256GB,$  10.000.000
Lenovo,Portatil lenovo 3 14are05 amd ryzen3 4gb 256gbssd,AMD RYZEN R3,4GB,14 pulgadas,1TB,No aplica,$  1.653.900 
Apple,MacBook Pro Chip M1 Pro 1TB SSD Plata MKGT3E/A 14.2 Pulgadas,Chip M1 Pro,16GB,14.2 pulgadas,No aplica,1TB,$  13.528.900
HP,Portátil hp 15-dy intel core i3 4gb 256gb ssd w10,Intel Core i3,4GB,15 pulgadas,No aplica,256GB,$  1.639.900 
JANUS,"Computador janus core i7-9700 linux ram 8gb 22""",Intel Core i7,8GB,22 pulgadas,No aplica,256GB,$  2.997.000 
Lenovo,Portatil lenovo 3 15iil05 core i3 4gb 1tb win10.,Intel Core i3,4GB,15.6 pulgadas,1TB,No aplica,$  1.776.000 
Apple,"MacBook Pro 13 Pulgadas Chip M1 CPU 8 núcleos GPU 8 núcleos, 256 GB SSD",Chip M1,8GB,13 pulgadas,No aplica,256GB,$  6.789.900 
Lenovo,Portatil lenovo s145 amd a9 ram8gb 1tb radeon 530,AMD A9,8GB,14 pulgadas,1TB,No aplica,$  1.709.400 
Asus,Portatil Asus M415da Amd Ryzen3 256gb Ssd Endless,AMD RYZEN R3,4GB,14 pulgadas,No aplica,256GB,$  1.709.400 
HP,Portátil hp 245 g7 amd 3020e 8gb 1tb linux,AMD,8GB,14 pulgadas,1TB,No aplica,$  1.399.900 
HP,Portátil HP 14 Pulgadas Intel Core i3 8GB+16GB Optane 256GB,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,$  1.769.000 
Huawei,Portátil Huawei Matebook 13s 13.4 Pulgadas Intel Core i7 16GB 512GB,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,$  5.999.900 
HP,"Portátil hp 245 ryzen 3, 1tb dd,  ram 8gb, win 10h",AMD RYZEN R3,4GB,14 pulgadas,1TB,No aplica,$  1.640.000 
Lenovo,Lenovo portátil s145 core i3 4gb 1tb free dos,Intel Core i3,4GB,14 pulgadas,1TB,No aplica,$  1.909.900 
GENERICO,Portátil gateway amd ryzen 5 256gb ssd 8gb windows,AMD RYZEN R5,8GB,15 pulgadas,No aplica,256GB,$  2.999.900 
Dell,Portátil Dell Inspiron 15 3501 4gbram/Ddh1tb Intel,Intel Core i3,4GB,15.6 pulgadas,1TB,No aplica,$  2.732.900 
Lenovo,Portátil lenovo s145 intel core i3 1005g 4gb 1tb,Intel Core i3,4GB,14 pulgadas,1TB,No aplica,$  1.560.000 
Dell,Portatil Dell vostro ryzen 5-3450 4gb ram ssd 256g,AMD RYZEN R5,4GB,14 pulgadas,No aplica,256GB,$  2.299.000 
Lenovo,Portátil Lenovo Ideapad S145 14 Pulgadas Intel Cor,Intel Core i3,4GB,14.1 pulgadas,1TB,No aplica,$  1.599.900 
Lenovo,Portátil lenovo tb 14 core i3 8gb 1tb win10pro edu,Intel Core i3,8GB,14 pulgadas,1TB,No aplica,$  2.999.900 
Asus,"Portatil asus celeron  x409m 4gb, 1tb, linux",Intel Celeron,4GB,14 pulgadas,1TB,No aplica,$  1.120.000 
Dell,Portátil dell 3493 i3 1005g1 ram 4g ssd 128gb14'',Intel Core i3,4GB,14 pulgadas,No aplica,128GB,$  1.759.900 
HP,Portátil Hp 15-Dw2032l  Core I5 4gb 1tb Windows 10,Intel Core i5,4GB,15.6 pulgadas,1TB,No aplica,$  2.349.900 
Lenovo,Portatil lenovo 3 14igl05 celeron 4gb 1tb freedos,Intel Celeron,4GB,14 pulgadas,1TB,No aplica,$  1.198.800 
Asus,Portátil Asus R3 4gb Ram 256gb Ssd Sistema Endless,AMD RYZEN R3,4GB,14 pulgadas,No aplica,256GB,$  1.739.990 
Lenovo,Portátil Lenovo Idea 14itl6 Core I3 11va 4gb 1tb,Intel Core i3,4GB,14 pulgadas,1TB,No aplica,$  1.680.000 
Lenovo,Portatil Lenovo 14´ Core I3 4gb Ram 1 Tb Freedos,Intel Core i3,4GB,14 pulgadas,1TB,No aplica,$  1.579.900 
Dell,"Portátil dell inspiron 3493 i3 1005g1 4gb 1tb 14""",Intel Core i3,4GB,14 pulgadas,1TB,No tiene dato.,$  2.099.900 
Lenovo,Portatil Lenovo V14 Ada Amd 3150u 14 Pulg 4gb 1tb,AMD,4GB,14 pulgadas,1TB,No aplica,$  1.119.900 
GENERICO,Portátil gateway intel core i5 256gb ssd 16gb win,Intel Core i5,16GB,14 pulgadas,No aplica,256GB,$  3.299.900 
Asus,"Portatil asus x415ma-bv041t/cel/4gb/1tb/win 10/14""",Intel Celeron,4GB,14 pulgadas,1TB,No tiene dato.,$  1.269.900 
HP,"Portátil hp ryzen 5, 4gb, 1tb, w10pro + kaspersky",AMD RYZEN R5,4GB,14 pulgadas,1TB,No aplica,$  2.550.000 
HP,Portátil HP pavilion x360 pentium 4gb ram 128ssd,Intel Pentium,4GB,14 pulgadas,No tiene dato.,No tiene dato.,$  1.889.000 
Toshiba,Portatil toshiba tecra dynabook,Intel Celeron,4GB,14 pulgadas,No aplica,No tiene dato.,$  1.410.000 
GENERICO,Portátil gateway intel core i5 256gb ssd 16gb win,Intel Core i5,16GB,15 pulgadas,No aplica,256GB,$  3.299.900 
Asus,Portatil asus x415ea  corei3-1115g4 256ssd 4gb,Intel Core i3,4GB,14 pulgadas,No aplica,256GB,$  1.699.000 
HP,Portátil hp 14 pulgadas intel celeron 4gb 1tb ,Intel Celeron,4GB,14 pulgadas,1TB,No aplica,$  1.087.800 
Lenovo,Portatil lenovo ideapad v145 amd a4 9125,AMD A4,4GB,14 pulgadas,1TB,No tiene dato.,$  1.330.000 
HP,Portátil hp 245 g7  athlon 3020e 8gb 500gb win10h,AMD,8GB,14 pulgadas,500GB,No aplica,$  1.814.900 
Acer,Portatil acer a514-53 core i3 4gb 256gbssd win10,Intel Core i3,4GB,14 pulgadas,No aplica,256GB,$  1.720.500 
HP,Portátil hp 14 pulgadas amd ryzen r3 4gb ram,AMD RYZEN R3,4GB,14 pulgadas,1TB,No aplica,$  1.610.000 
Asus,Portatil asus x415ea core i3 256gb ssd 4gb endless,Intel Core i3,4GB,14 pulgadas,No aplica,256GB,$  1.720.500 
HP,Portátil hp 14pulgadas intel core i5 4gb  1tb,Intel Core i5,4GB,14 pulgadas,1TB,No tiene dato.,$  3.129.000 
Toshiba,Portátil toshiba tecra a40-g celeron 4gb 128gb ssd,Intel Celeron,4GB,14 pulgadas,No tiene dato.,No tiene dato.,$  1.249.888 
HP,Portátil HP 14 Pulgadas Intel Core i3 8GB+16GB Optane 256GB,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,$  1.769.000 
Huawei,Portátil Huawei Matebook 13s 13.4 Pulgadas Intel Core i7 16GB 512GB,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,$  5.999.900 
HP,"Todo en uno hp 205 amd athlon 3050u 4gb 1tb 21.5""",AMD,4GB,21.5 pulgadas,1TB,No aplica,$  1.699.000 
Lenovo,Portatil Lenovo Thinkbook 14 Pulg 4gb 1tb W10 Pro,Intel Core i3,4GB,14 pulgadas,1TB,No aplica,$  2.473.900 
HP,"Portátil hp 15-da2023, core i 3, 4gb, 1tb , 15,6""",Intel Core i3,4GB,15.6 pulgadas,1TB,No aplica,$  1.735.000 
HP,"Portátil hp 14-ck2101la cel n4020/4gb/1tb/14""",Intel Celeron,4GB,14 pulgadas,1TB,No tiene dato.,$  1.069.900 
JANUS,Computador janus core i5-9400 linux ram 8gb 22.,Intel Core i5,8GB,22 pulgadas,No aplica,256GB,$  2.531.000 
Lenovo,Portátil Lenovo V130-14igm Intel Celeron 4gb/1tb 1,Intel,4GB,14 pulgadas,1TB,No aplica,$  1.801.900 
Dell,Portatil dell latitude 3420 core i3 4gb 1tb linux,Intel Core i3,4GB,14 pulgadas,1TB,No aplica,$  1.609.500 
Lenovo,Portátil lenovo v145 -14 pulgadas amd a4 4gb - 1tb,AMD A4,4GB,14 pulgadas,1TB,No aplica,$  1.199.900 
HP,Portátil Hp 14-Cf2081la Pentium Gold 6405u Ram/8gb,Intel Pentium,8GB,14 pulgadas,No aplica,256GB,$  2.201.900 
Asus,Portátil asus x415ja-ek483t intel® core¿ i3-1005g1,Intel Core i3,4GB,14 pulgadas,1TB,No aplica,$  2.628.900 
Lenovo,Lenovo IP S145 Portátil A9 8GB 1TB 14,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,$  2.300.000 
HP,Portátil hp 14-cf3039la core i3 4gb 1tb freedos,Intel Core i3,4GB,14 pulgadas,1TB,No aplica,$  1.520.700 
HP,Portátil hp 14 core i5 10210u 4gb 1tb win10home,Intel Core i5,4GB,14 pulgadas,1TB,No aplica,$  2.899.900 
HP,Portátil hp 240 g7 intel core i5 8265u 4gb 1tb w10,Intel Core i5,4GB,14 pulgadas,1TB,No aplica,$  3.200.000 
HP,Portátil hp 14 pulgadas intel celeron 4gb 1tb,Intel Celeron,4GB,14 pulgadas,1TB,No aplica,$  1.249.900 
Lenovo,PC Portatil Lenovo S145-14IIL Core i5-1035G4 4GB D,Intel Core i5,4GB,14 pulgadas,1TB,No aplica,$  6.617.135 
Asus,Portátil asus 14 pulgadas intel celeron 4gb 500gb,Intel Celeron,4GB,14 pulgadas,500GB,No tiene dato.,$  1.254.000 
Lenovo,Portátil lenovo v145-14ast 14 pulgadas amd a6 4gb ,AMD A6,4GB,14 pulgadas,500GB,No aplica,$  1.259.888 
Lenovo,Portatil lenovo v145-14ast amd a6 4gb 500gb win10,AMD A6,4GB,14 pulgadas,500GB,No aplica,$  1.276.500 
Dell,"Portátil dell inspiron 15 3501 core i3 4gb 1tb 15""",Intel Core i3,4GB,15.6 pulgadas,1TB,No aplica,$  2.180.000 
HP,Portatil hp 240 g7 core i3 1005g1 4gb 1tb linux,Intel Core i3,4GB,14 pulgadas,1TB,No aplica,$  1.520.700 
HP,Portatil hp notebook 245 g7  ryzen 3+ kaspersky,AMD RYZEN R3,8GB,14 pulgadas,500GB,No aplica,$  3.333.333 
Lenovo,Portátil Lenovo NO 14.1 pulgadas Intel Core i3 4GB RAM,Intel Core i3,4GB,14.1 pulgadas,1TB,No aplica,$  3.631.900 
HP,Portátil hp 240 g7 core i3 4gb 1tb linux,Intel Core i3,4GB,14 pulgadas,1TB,No aplica,$  1.499.900 
Acer,Portatil acer a314-22 ryzen 3 4gb 1tb linux,AMD RYZEN R3,4GB,14 pulgadas,1TB,No aplica,$  1.687.200 
HP,Portátil hp 14 pulgadas intel core i5 4gb 1tb,Intel Core i5,4GB,14 pulgadas,1TB,No tiene dato.,$  3.299.900 
GENERICO,Portátil gateway intel core i5 256gb ssd 16gb win,Intel Core i5,16GB,14 pulgadas,No aplica,256GB,$  3.299.900 
Toshiba,"Portátil toshiba 14"" intel celeron 4gb 128 gb",Intel Celeron,4GB,14 pulgadas,No tiene dato.,No tiene dato.,$  1.519.900 
GENERICO,Portátil gateway intel core i5 256gb ssd 16gb win,Intel Core i5,16GB,15 pulgadas,No aplica,256GB,$  3.299.900 
Lenovo,Portatil lenovo v145 14 pulgadas amd a6 4gb 500gb,AMD A6,4GB,14 pulgadas,500GB,No aplica,$  1.269.900 
HP,Portatil hp 245 g7 14 pulgadas amd  4gb 1tb ,AMD,4GB,14 pulgadas,1TB,No aplica,$  1.243.200 
HP,Portatil hp celeron 4gb ram 1tb linux 14 pulgadas,Intel Celeron,4GB,14 pulgadas,1TB,No tiene dato.,$  2.525.696 
HP,Portátil HP 14 Pulgadas Intel Core i3 8GB+16GB Optane 256GB,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,$  1.769.000 
Huawei,Portátil Huawei Matebook 13s 13.4 Pulgadas Intel Core i7 16GB 512GB,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,$  5.999.900 
HP,"Hp 14-ck2101la portatil cel n4020/4gb/1tb/14""",Intel Celeron,4GB,14 pulgadas,1TB,No tiene dato.,$  1.069.900 
GENERICO,Portátil gateway amd ryzen 5 256gb ssd 8gb windows,AMD RYZEN R5,8GB,15 pulgadas,No aplica,256GB,$  2.999.900 
Acer,Portatil acer a514-53 i3/4/256,Intel Core i3,4GB,14 pulgadas,256GB,No aplica,$  1.849.900 
HP,Portatil hp 14-cf1045 /4g/256g,Intel,4GB,14 pulgadas,256GB,256GB,$  1.697.900 
Acer,Portátil acer a514 intel core i3 1005g1 ssd 256gb,Intel Core i3,No aplica,14 pulgadas,4GB,256GB,$  2.299.900 
Toshiba,Portátil toshiba  celeron 4gb 128gb ssd win10pro,Intel Celeron,4GB,14 pulgadas,No aplica,128GB,$  2.000.000 
HP,Portátil hp stream azul 64gb/4gb intel,Intel Celeron,4GB,14 pulgadas,No aplica,No aplica,$  1.180.000 
Dell,"Portatil Dell 15 3501 core i3 ram4gb 1tb 15,6pulg",Intel Core i3,4GB,15.6 pulgadas,1TB,No aplica,$  1.709.400 
Lenovo,Portatil Lenovo V145 14ast 14 Pulg 4gb 500gb Linux,AMD A4,4GB,14 pulgadas,500GB,No aplica,$  1.120.900 
HP,Portatil hp 15da2016 ci3/r4/1t,Intel,4GB,15 pulgadas,1TB,No aplica,$  1.794.900 
HP,"Portatil hp 240 g7/ corei3-1005g1/4gb/ dd1tb/14""",Intel Core i3,4GB,14 pulgadas,1TB,No aplica,$  1.609.000 
HP,Portatil hp 245 g7 amd athlon,AMD,4GB,14 pulgadas,1TB,No tiene dato.,$  1.342.000 
Acer,"Portátil Acer A514-53-34fr Hd Ci3  14 "" 4gb/256ssd",Intel Core i3,4GB,14 pulgadas,No aplica,256GB,$  2.628.900 
HP,Portátil hp 14-dk1020la amd athlon 3050u 4gb 256,AMD,4GB,14 pulgadas,No aplica,256GB,$  1.475.000 
Logitech,Portatil v145-14ast amda6 /4g / hdd500gb /14/ w10h,AMD,4GB,14 pulgadas,50GB,No aplica,$  1.285.000 
HP,Portátil hp 245 g7 amd 3020e 4gb 500gb win10home,AMD,4GB,14 pulgadas,500GB,No aplica,$  1.499.900 
Lenovo,Portátil lenovo s340 intel core i3 4gb 256gb ssd,Intel Core i3,4GB,14 pulgadas,No tiene dato.,No tiene dato.,$  2.000.000 
HP,"Portatil hp 255 g7 amd 3020e 4gb 500dd linux 15,6""",AMD,4GB,15.6 pulgadas,500GB,No aplica,$  1.393.000 
Asus,Portatil asus expertbook b1440fa-bv3124 14 ci3 4gb,Intel Core i3,4GB,14 pulgadas,1TB,No tiene dato.,$  2.099.900 
Lenovo,Portátil lenovo 3 14iil05 core i3 4gb 1tb freedos,Intel Core i3,4GB,14 pulgadas,1TB,No aplica,$  1.609.500 
HP,Portátil hp 14-cf2089la intel celeron  4gb 256 ssd,Intel Celeron,4GB,14 pulgadas,No aplica,256GB,$  1.199.900 
Dell,Portátil Dell Latitude 3420 Ddh 1tb Ram 2gb Intel,Intel Core i3,2GB,14 pulgadas,1TB,No aplica,$  2.578.900 
Lenovo,Portátil lenovo ips/1340-14iil core i3 4gb ram 256,Intel Core i3,4GB,14 pulgadas,256GB,No aplica,$  2.526.900 
Lenovo,Portatil lenovo v145/14ast/amd a6/ 4ram/500 gb hdd,AMD,4GB,14 pulgadas,500GB,No tiene dato.,$  1.285.000 
HP,Portátil hp 14-cf2089la intel celeron  4gb 256 ssd,Intel Celeron,4GB,14 pulgadas,No aplica,256GB,$  1.599.000 
HP,Portátil hp 245 g7 amd e-series e2 4gb 1tb ubuntu,AMD E2,4GB,14 pulgadas,1TB,No aplica,$  1.599.900 
HP,"Portatil hp 255 g7 amd athlon 3020 4gb 500gb 15""",AMD,4GB,14 pulgadas,500GB,No aplica,$  1.379.900 
HP,Portátil Hp 14-Dk1020la Amd Athlon 3050u 4gb 256gb,AMD,4GB,14 pulgadas,No aplica,256GB,$  1.359.000 
HP,"Hp 255 g7 ath 3020e 4gb/500g win 10 home, 15.6""",Intel Atom,4GB,15.6 pulgadas,500GB,No aplica,$  1.629.900 
HP,"Portatil hp ck2101la celeron 14"" 4gb 1tb freedos",Intel Celeron,4GB,14 pulgadas,1TB,No aplica,$  1.387.000 
HP,Portatil hp 15-da2023la core i3 4gb 1tb freedos,Intel Core i3,4GB,15.6 pulgadas,1TB,No aplica,$  1.742.700 
HP,Portátil hp 14-cf intel core i3 4gb 1tb windows 10,Intel Core i3,4GB,14 pulgadas,1TB,No aplica,$  2.399.900 
HP,Portátil HP 14 Pulgadas Intel Core i3 8GB+16GB Optane 256GB,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,$  1.769.000 
Huawei,Portátil Huawei Matebook 13s 13.4 Pulgadas Intel Core i7 16GB 512GB,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,No tiene dato.,$  5.999.900 
HP,Hp Portatil 430 G7 Intel Ci7 8gb 256gb,Intel Core i7,8GB,13.3 pulgadas,No aplica,256GB,$  5.299.900 
Asus,Portatil asus x415ma-bv041t celeron,Intel Celeron,4GB,14 pulgadas,1TB,No tiene dato.,$  1.320.000 
HP,Portátil 450 G7 Intel Ci7 -10510u 8gb 512 Ssd,Intel Core i7,8GB,15.6 pulgadas,No aplica,512GB,$  5.199.900 
Toshiba,Portátil tecra a40-g celeron 5205u 4gb 128gb w10pr,Intel Celeron,4GB,14 pulgadas,No aplica,128GB,$  1.699.900 
HP,Portátil Hp 14-Cf2062la Intel Core I3 4gb 256gb,Intel Core i3,4GB,14 pulgadas,No aplica,256GB,$  2.199.900 
HP,Portátil Hp 15-Ef1009la 4gb/256ssd R3-4300u Qc,AMD RYZEN R3,4GB,15.6 pulgadas,No aplica,256GB,$  2.599.900 
Asus,Portátil Asus M415da-Bv797t  4gb/256ssd Amd Ryzen,AMD RYZEN R3,4GB,14 pulgadas,No aplica,256GB,$  2.599.900 
Asus,"Portatil Asus M415da-Bv797 14"" Ryzen 3",AMD RYZEN R3,4GB,14 pulgadas,No aplica,256GB,$  1.744.888 
HP,Portátil Hp 15-Dy2064la Intel Core I3 8gb 512gb,Intel Core i3,8GB,15 pulgadas,No aplica,512GB,$  2.199.900 
Asus,Portátil Asus X415ja-Ek483t 4gb/Ddh-1tb Core I3,Intel Core i3,4GB,14 pulgadas,1TB,No aplica,$  3.599.900 
Asus,"Portátil Asus Tuf 15,6"" Fx516pm  Core I7",Intel Core i7,16GB,15.6 pulgadas,No aplica,512GB,$  6.849.888 
Asus,"Portatil Asus Expertbook B2451fa 14"" Core I5",Intel Core i5,8GB,14 pulgadas,No aplica,512GB,$  4.299.888 
HP,Portátil Hp 15-Dw1057la Intel Core I3 4gb 1tb W10,Intel Core i3,4GB,14 pulgadas,1TB,No aplica,$  1.999.900 
Lenovo,Portátil Lenovo Ip 3 14itl6 4gb/Ssd256gb  Intel,Intel Core i3,4GB,14 pulgadas,No aplica,256GB,$  3.299.900 
HP,Portátil Hp 15-Dw1056la Intel Core I3 8gb 256gb,Intel Core i3,8GB,15 pulgadas,No aplica,256GB,$  2.199.900 
Asus,"Portátil Asus X543ma, Celeron, 4gb, 128ssd, W10pro",Intel Celeron,4GB,15.6 pulgadas,No aplica,128GB,$  1.120.000 
Acer,Portátil Acer Spin Sp314-54n-344f  4gb/256ssd/ Fhd,Intel Core i3,4GB,14 pulgadas,No aplica,256GB,$  3.199.900 
Asus,Portátil Asus Zenbook Flip S13 OLED 13.3 Pulgadas Intel Core i7 16GB 512GB,Intel Core i7,16GB,13.3 pulgadas,No aplica,512GB,$  6.499.900 
HP,"Portátil Hp 245 G8 14"" Amd Ryzen 5 8gb 256ssd",AMD RYZEN R5,8GB,14 pulgadas,No aplica,256GB,$  2.899.900 
HP,Portátil Hp 245 G8 Amd Ryzen 3 8gb 256gb Ssd Linux,AMD RYZEN R3,8GB,14 pulgadas,No aplica,256GB,$  1.999.000 
